genotype,pop,timepoint,replicate,control_ave,n_adults,productivity_normalised
mM,11,5,24,20,31,1.55
mM,11,5,25,20,27,1.35
mM,11,5,26,20,33,1.65
mM,11,5,27,20,17,0.85
mM,11,5,28,20,38,1.9
mM,11,5,29,20,29,1.45
mM,11,5,30,20,37,1.85
mM,12,3,1,8.915492957746478,8,0.8973143759873619
mM,12,3,2,8.915492957746478,0,0
mM,12,3,3,8.915492957746478,11,1.2338072669826226
mM,12,3,4,8.915492957746478,12,1.3459715639810428
mM,12,3,5,8.915492957746478,0,0
mM,12,3,6,8.915492957746478,24,2.6919431279620856
mM,12,3,7,8.915492957746478,1,0.11216429699842023
mM,12,3,8,8.915492957746478,0,0
mM,12,3,9,8.915492957746478,3,0.3364928909952607
mM,12,3,10,8.915492957746478,5,0.5608214849921012
mM,12,3,11,8.915492957746478,1,0.11216429699842023
mM,12,3,12,8.915492957746478,11,1.2338072669826226
mM,12,3,13,8.915492957746478,12,1.3459715639810428
mM,12,3,14,8.915492957746478,2,0.22432859399684046
mM,12,3,15,8.915492957746478,3,0.3364928909952607
mM,12,3,16,8.915492957746478,12,1.3459715639810428
mM,12,3,17,8.915492957746478,3,0.3364928909952607
mM,12,3,18,8.915492957746478,7,0.7851500789889416
mM,12,3,19,8.915492957746478,0,0
mM,12,3,20,8.915492957746478,11,1.2338072669826226
